Date,Day_of_week,Tampa,St_Pete,Sarasota,Health
19-Sep-20,Saturday,6,0,0,0
18-Sep-20,Friday,18,0,0,0
17-Sep-20,Thursday,19,0,0,0
16-Sep-20,Wednesday,24,0,0,0
15-Sep-20,Tuesday,19,1,0,0
14-Sep-20,Monday,12,0,0,0
13-Sep-20,Sunday,0,0,0,0
12-Sep-20,Saturday,14,0,0,0
11-Sep-20,Friday,14,0,1,0
10-Sep-20,Thursday,14,0,0,0
9-Sep-20,Wednesday,8,0,0,0
8-Sep-20,Tuesday,10,0,0,0
7-Sep-20,Monday,1,0,0,0
6-Sep-20,Sunday,0,0,0,0
5-Sep-20,Saturday,1,0,0,0
4-Sep-20,Friday,3,2,0,0
3-Sep-20,Thursday,8,0,0,1
2-Sep-20,Wednesday,8,0,0,1
1-Sep-20,Tuesday,1,0,0,2
31-Aug-20,Monday,3,0,0,0
30-Aug-20,Sunday,7,0,0,0
29-Aug-20,Saturday,0,0,0,0
28-Aug-20,Friday,3,0,1,0
27-Aug-20,Thursday,1,0,0,0
26-Aug-20,Wednesday,0,1,0,0
25-Aug-20,Tuesday,2,0,0,1
24-Aug-20,Monday,1,0,0,0
23-Aug-20,Sunday,0,0,0,0
22-Aug-20,Saturday,3,1,0,0
21-Aug-20,Friday,0,0,0,0
20-Aug-20,Thursday,0,0,1,0
19-Aug-20,Wednesday,0,0,0,0
18-Aug-20,Tuesday,2,0,0,1
17-Aug-20,Monday,0,1,0,0
16-Aug-20,Sunday,0,0,0,0
15-Aug-20,Saturday,3,0,0,0
14-Aug-20,Friday,0,1,0,0
13-Aug-20,Thursday,2,0,0,0
12-Aug-20,Wednesday,2,0,0,0
11-Aug-20,Tuesday,1,0,0,0
10-Aug-20,Monday,1,1,0,1
9-Aug-20,Sunday,1,0,0,0
8-Aug-20,Saturday,0,0,0,0
7-Aug-20,Friday,1,0,0,0
6-Aug-20,Thursday,1,0,0,1
5-Aug-20,Wednesday,2,0,0,0
4-Aug-20,Tuesday,1,0,0,0
3-Aug-20,Monday,2,0,0,0
2-Aug-20,Sunday,3,0,0,0
1-Aug-20,Saturday,1,0,0,0
31-Jul-20,Friday,0,0,0,1
30-Jul-20,Thursday,0,0,0,0
29-Jul-20,Wednesday,2,0,0,0
28-Jul-20,Tuesday,3,0,2,1
27-Jul-20,Monday,2,0,0,1
26-Jul-20,Sunday,0,0,0,0
25-Jul-20,Saturday,0,0,0,0
24-Jul-20,Friday,1,0,0,1
23-Jul-20,Thursday,6,0,0,0
22-Jul-20,Wednesday,0,0,1,0
21-Jul-20,Tuesday,0,0,0,2
20-Jul-20,Monday,2,0,0,0
19-Jul-20,Sunday,0,0,0,1
18-Jul-20,Saturday,2,0,0,1
17-Jul-20,Friday,0,1,0,3
16-Jul-20,Thursday,0,0,0,3
15-Jul-20,Wednesday,0,0,0,4
14-Jul-20,Tuesday,2,0,0,1
13-Jul-20,Monday,3,0,0,1
12-Jul-20,Sunday,0,0,0,0
11-Jul-20,Saturday,2,0,0,0
10-Jul-20,Friday,0,0,0,3
9-Jul-20,Thursday,10,1,0,1
8-Jul-20,Wednesday,3,0,0,3
7-Jul-20,Tuesday,4,0,1,2
6-Jul-20,Monday,3,0,0,6
5-Jul-20,Sunday,0,0,0,0
4-Jul-20,Saturday,2,0,0,0
3-Jul-20,Friday,1,0,0,1
2-Jul-20,Thursday,9,0,0,0
1-Jul-20,Wednesday,0,0,0,2
30-Jun-20,Tuesday,2,0,0,8
29-Jun-20,Monday,13,0,0,2
28-Jun-20,Sunday,0,0,0,0
27-Jun-20,Saturday,0,0,0,0
26-Jun-20,Friday,9,0,0,0
25-Jun-20,Thursday,5,1,0,0
24-Jun-20,Wednesday,4,0,0,5
23-Jun-20,Tuesday,4,0,0,0
22-Jun-20,Monday,11,0,0,0
21-Jun-20,Sunday,0,0,0,0
20-Jun-20,Saturday,0,0,0,0
19-Jun-20,Friday,3,0,0,3
18-Jun-20,Thursday,3,0,0,0
17-Jun-20,Wednesday,1,0,0,1
16-Jun-20,Tuesday,5,1,0,0
15-Jun-20,Monday,1,0,0,0
14-Jun-20,Sunday,0,0,0,0
13-Jun-20,Saturday,0,0,0,0
12-Jun-20,Friday,0,0,0,0
11-Jun-20,Thursday,0,2,0,0
10-Jun-20,Wednesday,0,0,0,0
9-Jun-20,Tuesday,0,0,0,0
8-Jun-20,Monday,0,0,0,0
7-Jun-20,Sunday,0,0,0,0
6-Jun-20,Saturday,0,0,0,0
5-Jun-20,Friday,0,0,0,0
4-Jun-20,Thursday,0,1,0,1
3-Jun-20,Wednesday,0,0,0,0
2-Jun-20,Tuesday,0,0,0,2
1-Jun-20,Monday,0,0,0,0
